Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
Sri Lanka,952,271.0,3.51,415,2,draw,India,Colombo (RPS),1997-08-02,1,6
Pakistan,765,248.83333333333331,3.07,121,2,draw,Sri Lanka,Karachi,2009-02-21,1,6
Sri Lanka,760,202.66666666666663,3.75,334,2,draw,India,Ahmedabad,2009-11-16,1,7
India,759,190.66666666666663,3.98,282,2,won,England,Chennai,2016-12-16,1,7
Sri Lanka,756,185.16666666666663,4.08,587,2,won,South Africa,Colombo (SSC),2006-07-27,1,5
West Indies,751,202.0,3.71,751,1,draw,England,St John's,2004-04-10,1,5
West Indies,749,194.66666666666663,3.84,149,2,draw,England,Bridgetown,2009-02-26,1,9
West Indies,747,235.33333333333331,3.17,159,2,draw,South Africa,St John's,2005-04-29,0,10
Australia,735,146.5,5.01,735,1,won,Zimbabwe,Perth,2003-10-09,1,6
Sri Lanka,730,187.83333333333331,3.88,498,2,won,Bangladesh,Mirpur,2014-01-27,1,6
India,726,163.5,4.44,333,2,won,Sri Lanka,Brabourne,2009-12-02,1,9
New Zealand,715,163.0,4.38,481,2,won,Bangladesh,Hamilton,2019-02-28,1,6
Sri Lanka,713,165.5,4.3,485,2,won,Zimbabwe,Bulawayo,2004-05-14,1,3
Sri Lanka,713,199.5,3.57,200,2,draw,Bangladesh,Chattogram,2018-01-31,1,9
England,710,188.16666666666663,3.77,486,2,won,India,Birmingham,2011-08-10,1,7
Pakistan,708,220.5,3.21,708,1,draw,England,The Oval,1987-08-06,0,10
India,707,225.33333333333331,3.13,65,2,draw,Sri Lanka,Colombo (SSC),2010-07-26,0,10
India,705,187.5,3.76,705,1,draw,Australia,Sydney,2004-01-02,1,7
Pakistan,699,203.66666666666663,3.43,190,2,draw,India,Lahore,1989-12-01,0,5
West Indies,692,163.0,4.24,238,2,draw,England,The Oval,1995-08-24,1,8
New Zealand,690,143.16666666666666,4.81,339,2,won,Pakistan,Sharjah,2014-11-26,0,10
India,687,166.0,4.13,687,1,won,Bangladesh,Hyderabad,2017-02-09,1,6
South Africa,682,177.0,3.85,509,2,won,England,Lord's,2003-07-31,1,6
New Zealand,680,210.0,3.23,434,3,draw,India,Wellington,2014-02-14,1,8
